Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
MGI:1344371	MGI	MGI:1344371	Nek3	NIMA (never in mitosis gene a)-related expressed kinase 3	protein coding gene
MGI:1344404	MGI	MGI:1344404	Nek4	NIMA (never in mitosis gene a)-related expressed kinase 4	protein coding gene
MGI:2142824	MGI	MGI:2142824	Nek5	NIMA (never in mitosis gene a)-related expressed kinase 5	protein coding gene
MGI:1891638	MGI	MGI:1891638	Nek6	NIMA (never in mitosis gene a)-related expressed kinase 6	protein coding gene
MGI:1890645	MGI	MGI:1890645	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7	protein coding gene
MGI:1890646	MGI	MGI:1890646	Nek8	NIMA (never in mitosis gene a)-related expressed kinase 8	protein coding gene
MGI:2442375	MGI	MGI:2387995	Nek9	NIMA (never in mitosis gene a)-related expressed kinase 9	protein coding gene
MGI:1858204	MGI	MGI:1858204	Map3k14	mitogen-activated protein kinase kinase kinase 14	protein coding gene
MGI:2442399	MGI	MGI:2442399	Nim1k	NIM1 serine/threonine protein kinase	protein coding gene
MGI:1201387	MGI	MGI:1201387	Nlk	nemo like kinase	protein coding gene
MGI:2183436	MGI	MGI:2183436	Nrbp1	nuclear receptor binding protein 1	protein coding gene
MGI:1925226	MGI	MGI:1925226	Nuak1	NUAK family, SNF1-like kinase, 1	protein coding gene
MGI:1921387	MGI	MGI:1921387	Nuak2	NUAK family, SNF1-like kinase, 2	protein coding gene
